TIPO_PERSONA,EDAD,SEXO,MONTO_PRESTAMO,PLAZO,TASA_INTERES,CASA_PH,SEGURO,TRABAJADOR,DIRECTIVO,PRIMER_PRESTAMO,HIPOTECA_registrada,Cuenta_GARANTIA,RIESGO_INDIVIDUAL
1,67,1,68000,101,15,1,0,0,0,1,0,0,1
1,74,0,25000,59,27.03,2,0,0,0,1,0,0,1
1,56,0,1325,12,12.68,1,0,0,0,0,0,0,1
1,55,0,27000,48,15,1,0,0,0,1,0,0,1
1,76,0,5602,10,12.68,1,0,0,0,1,0,0,1
1,69,0,39000,72,17,1,0,0,0,1,0,0,1
1,59,1,935,10,12.68,1,0,0,0,1,0,0,1
1,88,0,2340,15,12.68,1,0,0,0,1,1,1,1
1,82,0,4420,24,12.68,1,0,0,0,1,0,0,1
1,57,0,49000,72,15,1,0,0,0,0,0,0,1
1,51,1,3000,24,19.56,1,0,0,0,1,1,1,1
1,72,1,15000,36,16.98,2,0,0,0,1,0,0,1
1,66,1,25000,36,27.01,1,0,0,0,1,0,0,1
1,70,0,20100,48,25.21,2,0,0,0,1,0,0,1
1,59,0,17000,72,23.07,1,0,0,0,1,0,0,1
1,60,0,5677,18,19.56,1,0,0,0,1,0,0,1
1,55,0,415,6,12.68,1,0,0,0,1,0,0,1
1,54,1,40100,36,21.65,2,0,0,0,1,0,0,1
1,49,1,2198,10,12.68,1,0,0,0,1,0,0,1
1,49,1,2241,8,12.68,1,0,0,0,1,0,0,1
1,57,0,23000,48,15,1,0,0,0,1,0,0,1
1,63,0,41500,72,17,1,0,0,0,0,0,0,1
1,53,0,16000,24,34.78,2,0,0,0,1,0,0,1
1,58,0,60000,72,14.5,1,0,0,0,1,0,0,1
1,52,0,5000,36,12.68,1,0,0,0,1,0,0,1
1,49,0,10100,36,32.33,2,0,0,0,1,0,0,1
1,77,0,5492,36,12.68,1,0,0,0,1,0,0,1
1,74,0,3000,8,12.68,1,0,0,0,1,1,1,1
1,76,1,1711,12,12.68,1,0,0,0,1,0,0,1
1,59,0,2470,12,12.68,1,0,0,0,1,0,0,4
1,77,0,7075,30,12.68,1,0,0,0,1,1,1,1
1,77,0,25000,36,19.56,1,0,0,0,1,0,0,1
1,30,1,15000,30,16.98,1,0,0,0,1,0,0,1
1,30,1,15000,30,16.98,2,0,0,0,1,0,0,1
1,65,0,28000,72,17,1,0,0,0,1,0,0,1
1,76,1,5370,36,16.98,2,0,0,0,1,0,0,4
1,72,1,2034,13,12.68,1,0,0,0,1,1,1,1
1,62,0,54500,72,15.5,1,0,0,0,1,0,0,1
1,56,1,6865,12,12.68,1,0,0,0,1,0,0,1
1,48,0,3000,12,52.96,1,0,0,0,1,0,0,1
1,56,0,2000,18,30.71,1,0,0,0,1,0,0,1
1,60,0,9899,36,16.98,2,0,0,0,1,0,0,1
1,42,0,1990,12,12.68,1,0,0,0,1,1,1,1
1,66,0,1562,12,12.68,1,0,0,0,1,0,1,1
1,66,0,1635,13,12.68,1,0,0,0,1,1,1,1
1,60,0,10000,30,16.98,2,0,0,0,1,0,0,1
1,52,0,1022,10,12.68,1,0,0,0,1,0,0,1
1,64,1,14500,72,24.41,1,0,0,0,1,0,0,1
1,59,0,2000,12,12.68,1,0,0,0,1,0,0,1
1,75,0,13450,36,16.98,2,0,0,0,1,0,0,1
1,60,0,4790,12,19.56,1,0,0,0,1,0,0,1
1,70,1,8000,36,27.68,1,0,0,0,1,0,0,1
1,62,0,35000,72,17,1,0,0,0,1,0,0,1
1,65,1,3000,12,16.98,1,0,0,0,1,0,0,1
1,79,1,4872,24,12.68,1,0,0,0,1,0,0,1
1,52,0,55000,72,15,1,0,0,0,1,0,0,1
1,61,0,4580,18,16.98,1,0,0,0,1,0,0,1
1,62,1,50000,72,15,2,0,0,0,1,0,0,1
1,47,0,100000,60,19.29,2,0,0,0,1,0,1,1
1,51,0,54000,72,17,1,0,0,0,1,0,0,1
1,79,0,8525,36,19.56,1,0,0,0,1,0,0,1
1,60,0,1942,15,12.68,1,0,0,0,1,0,1,1
1,50,1,50400,72,15,2,0,0,0,1,0,0,1
1,64,1,15000,60,19.56,1,0,0,0,1,0,0,1
1,63,1,5000,6,12.68,1,0,0,0,1,0,0,1
1,70,1,9000,24,25.76,1,0,0,0,1,0,0,1
1,42,0,55000,72,15,2,0,0,0,1,0,0,1
1,73,0,11452,24,12.68,1,0,0,0,1,0,0,1
1,73,0,11526,24,12.68,1,0,0,0,1,0,0,1
1,71,0,23500,72,17,1,0,0,0,1,0,0,1
1,60,1,46000,72,17,2,0,0,0,1,0,0,1
1,60,1,15000,36,31.58,2,0,0,0,1,0,0,1
1,61,1,46000,72,15,1,0,0,0,1,0,0,1
1,61,0,922,8,12.68,1,0,0,0,1,0,0,1
1,44,0,32000,72,17,2,0,0,0,1,0,0,1
1,61,1,44000,60,17,1,0,0,0,1,0,0,1
1,60,1,40500,72,15,1,0,0,0,1,0,0,1
1,52,1,40000,48,25.21,1,0,0,0,1,0,0,1
1,61,0,2147,15,12.68,1,0,0,0,1,0,0,1
1,46,0,17000,30,34.78,1,0,0,0,1,0,0,1
1,61,0,50000,48,25.44,2,0,0,0,1,0,1,1
1,68,1,1159,6,12.68,1,0,0,0,1,0,0,1
1,34,0,2614,12,12.68,1,0,0,0,1,0,1,1
1,34,0,2658,12,12.68,1,0,0,0,1,0,1,1
1,61,1,11000,36,32.33,2,0,0,0,1,0,0,1
1,57,1,80000,18,19.56,1,0,0,0,1,0,0,1
1,60,0,42000,65,15.5,2,0,0,0,1,0,0,1
1,44,0,5907,36,16.98,2,0,0,0,1,0,0,1
1,69,0,631,8,12.68,1,0,0,0,1,0,0,4
1,71,0,10300,36,16.98,2,0,0,0,1,0,0,1
1,57,1,1140,10,12.68,1,0,0,0,1,0,0,1
1,46,0,29500,72,15,1,0,0,0,1,0,0,1
1,51,0,2387,36,12.68,1,0,0,0,1,0,0,1
1,79,0,4000,12,12.68,1,0,0,0,1,0,1,1
1,59,0,4076,48,12.68,1,0,0,0,1,0,0,1
1,71,0,3500,18,12.68,1,0,0,0,1,0,0,1
1,57,0,43000,72,17,1,0,0,0,1,0,0,1
1,62,0,37500,72,17,1,0,0,0,1,0,0,1
1,46,0,10860,36,16.98,1,0,0,0,1,0,0,1
1,72,0,12000,36,16.98,2,0,0,0,1,0,0,1
1,51,1,3000,15,50.96,2,0,0,0,1,0,0,4
1,58,0,28000,48,32.55,1,0,0,0,1,0,0,1
1,58,0,40000,48,27.03,2,0,0,0,1,0,0,1
1,61,0,40000,60,20.34,1,0,0,0,1,0,0,1
1,51,0,6907,24,19.56,1,0,0,0,1,0,0,1
1,70,0,11954.76,1,75.52,1,0,0,0,1,0,0,1
1,44,0,5000,24,28.77,2,0,0,0,1,0,0,1
1,53,0,51000,72,15,2,0,0,0,1,0,0,1
1,47,0,25000,36,28.77,2,0,0,0,1,0,0,3
1,44,1,4664,36,12.68,1,0,0,0,1,0,0,1
1,49,1,44000,72,15,1,0,0,0,0,0,0,1
1,70,0,30000,24,25.21,2,0,0,0,1,0,0,1
1,69,1,165000,72,14.5,1,0,0,0,1,0,1,1
1,69,1,39000,24,21.65,2,0,0,0,1,1,1,1
1,78,0,4889,30,12.68,1,0,0,0,1,0,0,1
1,45,0,5000,19,35.89,1,0,0,0,1,0,0,1
1,55,0,47400,72,15,1,0,0,0,1,0,0,1
1,73,0,4828,29,12.68,1,0,0,0,1,1,1,4
1,42,1,5419,18,19.56,1,0,0,0,1,0,0,1
1,75,1,6759,17,19.56,1,0,0,0,1,0,0,1
1,75,1,2035,10,19.56,1,0,0,0,1,0,0,1
1,75,1,2070,12,19.56,1,0,0,0,1,0,0,1
1,78,1,5075,24,12.68,1,0,0,0,1,1,1,1
1,64,0,5258,28,12.68,1,0,0,0,1,1,1,1
1,65,0,4866,24,12.68,1,0,0,0,1,0,0,1
1,50,0,3440,12,16.98,2,0,0,0,1,0,0,1
1,73,1,4970,24,12.68,1,0,0,0,1,0,0,1
1,44,1,55000,72,14.5,1,0,0,0,1,0,0,1
1,46,0,15000,24,24.41,1,0,0,0,1,0,0,1
1,57,0,2160,10,12.68,1,0,0,0,1,0,0,1
1,57,0,10000,30,19.56,1,0,0,0,1,0,0,1
1,64,0,2000,12,44.35,1,0,0,0,1,0,0,1
1,64,0,10100,12,30.08,1,0,0,0,1,0,0,1
1,54,0,50000,60,17,1,0,0,0,1,0,0,1
1,45,1,53500,72,15,2,0,0,0,1,0,0,1
1,81,0,5600,18,12.68,1,0,0,0,1,1,1,1
1,52,1,10050,36,32.33,2,0,0,0,1,0,0,1
1,27,1,1542,12,12.68,1,0,0,0,1,0,0,1
1,49,0,1000,12,12.68,1,0,0,0,0,0,1,1
1,54,1,5000,20,39.46,1,0,0,0,1,0,0,1
1,54,1,56000,72,17,1,0,0,0,1,0,0,1
1,56,1,10900,12,16.98,2,0,0,0,1,0,0,1
1,54,1,9890,36,16.98,2,0,0,0,1,0,0,1
1,73,0,10000,33,25.76,1,0,0,0,1,0,0,1
1,44,0,84000,72,15,1,0,0,0,1,0,0,1
1,44,0,5800,18,19.56,1,0,0,0,1,0,0,1
1,52,0,5000,24,39.46,2,0,0,0,1,0,0,1
1,52,0,3000,33,53.97,2,0,0,0,1,0,0,1
1,83,1,5334,13,12.68,1,0,0,0,1,1,1,1
1,61,0,35000,72,17,1,0,0,0,1,0,0,1
1,65,1,5000,24,32.33,2,0,0,0,1,0,0,1
1,65,1,42500,72,15,1,0,0,0,1,0,0,1
1,70,0,4691,24,12.68,1,0,0,0,1,0,0,1
1,62,1,2283,6,12.68,1,0,0,0,1,0,0,1
1,80,0,5454,18,12.68,1,0,0,0,1,0,0,1
1,61,0,20100,18,27.01,1,0,0,0,1,0,0,1
1,51,0,5076,36,12.68,1,0,0,0,1,0,0,1
1,51,0,5177,36,12.68,1,0,0,0,1,0,0,1
1,58,0,25000,48,28.77,2,0,0,0,1,0,0,4
1,55,1,1560,10,12.68,1,0,0,0,1,0,1,1
1,50,0,38000,60,17,1,0,0,0,1,0,0,1
1,61,1,52000,72,15,2,0,0,0,1,0,0,1
1,53,1,4561,24,12.68,1,0,0,0,1,0,0,1
1,65,0,1000,12,12.68,1,0,0,0,1,0,1,1
1,53,1,10815,30,19.56,1,0,0,0,0,0,0,1
1,54,0,4538,18,12.68,1,0,0,0,1,0,0,1
1,65,0,1000,6,12.68,1,0,0,0,1,0,0,1
1,58,0,25000,33,17,1,0,0,0,1,0,0,1
1,59,0,700,12,12.68,1,0,0,0,1,0,0,1
1,76,0,3912,27,12.68,1,0,0,0,1,0,0,1
1,70,0,4800,24,12.68,1,0,0,0,1,1,1,1
1,68,1,9050,12,16.98,2,0,0,0,1,0,0,1
1,59,0,27000,48,32.55,1,0,0,0,1,0,0,1
1,59,1,48500,72,15,1,0,0,0,1,0,0,1
1,59,1,1600,18,39.45,2,0,0,0,1,0,0,1
1,53,0,3000,12,50.96,2,0,0,0,0,0,0,1
1,65,0,2000,6,12.68,1,0,0,0,1,0,0,1
1,55,0,40500,72,16.5,2,0,0,0,1,0,0,1
1,61,0,3587,18,16.98,2,0,0,0,1,0,0,1
1,64,1,10100,48,24.08,2,0,0,0,1,0,0,1
1,70,1,40000,48,17,1,0,0,0,1,0,0,1
1,68,0,2500,11,12.68,1,0,0,0,1,0,0,1
1,46,1,25000,36,32.55,1,0,0,0,1,0,0,1
1,57,0,11849,36,16.98,2,0,0,0,1,0,0,1
1,44,0,35500,72,17,1,0,0,0,1,0,0,1
1,44,0,311,1,125.22,2,0,0,0,1,0,0,1
1,54,0,2500,18,32.33,2,0,0,0,1,0,0,1
1,65,0,5000,12,15.6,2,0,0,0,1,0,0,1
1,65,0,1450,6,16.98,1,0,0,0,1,0,0,1
1,66,1,27000,58,15,1,0,0,0,1,0,0,1
1,44,1,5152,28,12.68,1,0,0,0,1,0,0,1
1,50,1,3659,12,12.68,1,0,0,0,1,0,0,1
1,38,0,1157,5,12.68,1,0,0,0,1,0,0,1
1,58,0,4350,15,16.98,2,0,0,0,1,0,0,1
1,59,1,348,4,12.68,1,0,0,0,1,0,0,1
1,58,0,7005,12,16.98,2,0,0,0,1,0,0,1
1,59,0,15000,46,32.33,2,0,0,0,1,0,0,3
1,26,0,4154,48,12.68,1,0,0,0,1,0,0,1
1,45,0,504,4,12.68,1,0,0,0,1,0,0,4
1,60,0,1515,6,19.56,1,0,0,0,1,1,1,1
1,60,0,1000,6,19.56,1,0,0,0,1,0,1,1
1,60,0,4953,12,19.56,1,0,0,0,1,1,1,1
1,60,0,2000,6,19.56,1,0,0,0,1,0,1,1
1,40,0,1317,8,12.68,1,0,0,0,1,0,0,1
1,55,0,4000,24,35.89,2,0,0,0,1,0,0,1
1,55,1,5040,24,12.68,1,0,0,0,1,0,0,4
1,75,0,3830,12,12.68,1,0,0,0,1,1,1,1
1,43,0,12690,60,19.56,1,0,0,0,1,0,1,1
1,43,0,12689,60,19.56,1,0,0,0,1,1,1,1
1,48,0,72000,72,15,2,0,0,0,1,0,0,4
1,39,0,37200,30,27.01,1,0,0,0,1,0,0,1
1,58,0,42000,72,17,1,0,0,0,1,0,0,1
1,57,0,4469,15,12.68,1,0,0,0,1,0,0,1
1,68,0,1648,8,12.68,1,0,0,0,1,0,0,1
1,60,0,42500,72,17,1,0,0,0,1,0,0,1
1,64,0,36000,72,15,1,0,0,0,1,0,0,1
1,46,0,2232,10,12.68,1,0,0,0,1,0,0,4
1,54,0,207000,84,14.71,1,0,0,0,1,1,1,1
1,54,0,20400,24,27.03,1,0,0,0,1,1,1,1
1,54,0,96000,72,15,1,0,0,0,1,0,0,1
1,55,1,9850,24,16.98,2,0,0,0,1,0,0,1
1,55,0,4900,10,16.98,1,0,0,0,1,0,0,1
1,49,0,41500,72,15,1,0,0,0,1,0,0,1
1,75,0,4700,8,12.68,1,0,0,0,1,0,0,1
1,75,0,3400,4,12.68,1,0,0,0,1,0,0,1
1,64,1,7000,30,35.89,2,0,0,0,1,0,0,4
1,52,0,4200,6,12.68,1,0,0,0,1,0,0,1
1,52,0,3500,3,12.68,1,0,0,0,1,0,0,1
1,47,1,3000,12,35.89,2,0,0,0,1,0,0,3
1,55,0,48000,72,15,1,0,0,0,1,0,0,1
1,52,1,20000,24,28.77,2,0,0,0,0,0,0,4
1,70,0,7837,48,19.56,1,0,0,0,1,0,0,4
1,67,1,2237,12,12.68,1,0,0,0,1,1,1,1
1,62,0,4517,24,12.68,1,0,0,0,1,0,0,1
1,67,0,10800,48,16.98,2,0,0,0,1,0,0,1
1,61,0,34500,72,15,1,0,0,0,1,0,0,1
1,66,0,3000,24,52.96,1,0,0,0,1,0,0,1
1,64,1,2350,10,12.68,1,0,0,0,1,0,0,1
1,59,1,53500,72,17,1,0,0,0,1,0,0,1
1,61,1,47500,60,15,2,0,0,0,1,0,0,1
1,53,0,11000,30,30.58,1,0,0,0,1,0,0,1
1,64,0,3921,18,12.68,1,0,0,0,1,0,1,1
1,56,1,6500,36,16.98,1,0,0,0,1,0,0,1
1,68,0,929,9,12.68,1,0,0,0,1,0,1,1
1,43,0,45500,72,17,2,0,0,0,1,0,0,1
1,74,1,3820,18,16.98,2,0,0,0,1,0,0,1
1,54,0,4000,12,52.96,1,0,0,0,1,0,0,1
1,58,0,23000,34,17,1,0,0,0,1,0,0,1
1,60,1,49000,72,15,2,0,0,0,1,0,0,1
1,49,0,5100,24,32.33,2,0,0,0,1,0,0,1
1,51,0,50000,72,17,1,0,0,0,1,0,0,4
1,48,0,16100,2,31.58,1,0,0,0,1,0,0,1
1,50,0,75000,72,17,1,0,0,0,1,1,1,1
1,74,0,10000,18,19.56,1,0,0,0,1,0,0,1
1,74,0,30000,60,19.56,1,0,0,0,1,1,1,1
1,74,0,12500,37,24.41,1,0,0,0,1,0,0,1
1,74,0,17500,60,19.56,1,0,0,0,1,0,0,1
1,51,0,55000,72,15,2,0,0,0,1,0,0,1
1,65,0,15263,36,19.56,1,0,0,0,1,0,0,1
1,65,0,30000,36,19.56,1,0,0,0,1,0,0,1
1,65,0,29073.8,60,19.56,1,0,0,0,1,0,0,1
1,65,0,58820,36,19.56,1,0,0,0,1,0,0,4
1,65,0,38800,48,19.56,1,0,0,0,1,0,0,1
1,57,0,1885,12,12.68,1,0,0,0,1,0,0,1
1,59,0,3000,18,35.89,2,0,0,0,1,0,0,1
1,64,0,45000,40,28.83,1,0,0,0,1,0,0,1
1,51,0,50000,60,25.44,2,0,0,0,1,0,0,1
1,49,1,28000,18,31.58,1,0,0,0,1,0,0,1
1,49,1,5000,28,41.96,2,0,0,0,1,0,0,1
1,63,0,1480,10,12.68,1,0,0,0,1,0,0,1
1,55,1,3000,6,12.68,1,0,0,0,1,0,0,1
1,63,1,10000,24,39.46,1,0,0,0,1,0,0,1
1,43,1,500,6,12.68,1,0,0,0,0,0,0,1
1,48,0,41800,72,14,1,0,0,0,1,0,0,1
1,54,0,2013,28,12.68,1,0,0,0,1,0,0,1
1,51,0,45000,73,15,1,0,0,0,1,0,0,1
1,66,1,2000,12,12.68,1,0,0,0,1,0,0,1
1,52,1,10100,24,28.77,2,0,0,0,1,0,0,1
1,56,0,71000,72,14,2,0,0,0,1,0,0,1
1,56,0,62500,72,14,1,0,0,0,1,0,0,1
1,56,0,3000,12,15.6,2,0,0,0,1,0,0,1
1,62,0,1500,10,12.68,1,0,0,0,1,1,1,1
1,74,1,1850,10,12.68,1,0,0,0,1,0,0,1
1,65,0,1229,10,12.68,1,0,0,0,1,0,0,1
1,56,1,1400,12,12.68,1,0,0,0,1,0,0,1
1,67,1,1356,14,12.68,1,0,0,0,1,0,0,1
1,63,0,9000,36,16.98,2,0,0,0,1,0,0,1
1,34,1,42000,60,20.34,1,0,0,0,1,0,0,1
1,52,0,4342,31,12.68,1,0,0,0,1,1,1,1
1,37,0,48000,72,15,1,0,0,0,1,0,0,1
1,65,1,7000,12,16.98,1,0,0,0,1,0,0,1
1,59,0,12000,24,19.56,2,0,0,0,1,0,1,1
1,59,0,8000,15,19.56,1,0,0,0,1,0,1,1
1,59,0,50000,60,19.56,1,0,0,0,1,1,1,1
1,27,0,1303,18,12.68,1,0,0,0,1,0,0,1
1,48,1,78000,72,15,1,0,0,0,1,0,0,1
1,47,1,300000,60,14.5,2,0,0,0,1,1,1,1
1,47,0,45500,72,15,2,0,0,0,1,0,0,1
1,57,0,504,5,12.68,1,0,0,0,1,0,0,1
1,53,1,12600,24,24.41,1,0,0,0,1,0,0,1
1,65,1,11900,36,16.98,2,0,0,0,1,0,0,1
1,76,0,2000,12,12.68,1,0,0,0,1,0,0,1
1,60,0,15000,36,24.08,1,0,0,0,1,0,0,1
1,43,1,2100,10,16.98,2,0,0,0,1,0,0,1
1,58,0,23000,27,17,1,0,0,0,1,0,0,1
1,68,0,3824,6,12.68,1,0,0,0,1,0,0,1
1,76,1,13050,7,30.58,2,0,0,0,1,0,0,1
1,58,1,260,3,12.68,1,0,0,0,1,0,0,1
1,68,0,27000,60,16.22,1,0,0,0,1,0,0,1
1,62,0,2500,15,12.68,1,0,0,0,1,1,1,1
1,55,0,40000,36,20.34,1,0,0,0,1,0,0,1
1,58,0,4200,21,16.98,2,0,0,0,1,0,0,1
1,55,0,14200,72,24.41,1,0,0,0,1,0,0,1
1,61,1,61000,72,14.5,1,0,0,0,1,0,0,1
